name_of_insurer,claims_outstanding_at_the_beginning_of_the_quarter,claims_intimated_during_the_quarter,claims_intimated_and_revived_during_the_quarter,claims_revised_during_the_quarter,claims_revived_during_the_quarter,claims_paid_during_the_quarter,claims_rejected_and_closed_as_no_claims_during_the_quarter,claims_declined_during_the_quarter,claims_closed_as_no_claims_during_the_quarter,claims_outstanding_at_the_end_of_the_quarter,declined_claims_ratio_percent,claims_closed_as_no_claims_ratio_percent,claim_settlement_ratio_percent,quarter,year
Madison,1861,5527,NA,NA,NA,5708,NA,NA,85,1595,NA,1.2,77.3,Q4,2018
Metropolitan Cannon,1424,519,NA,NA,NA,1190,NA,NA,NA,753,NA,NA,61.2,Q4,2018
Old Mutual,2743,1710,NA,NA,NA,2048,NA,NA,12,2393,NA,0.3,46,Q4,2018
Pioneer,4282,6219,NA,NA,NA,4439,NA,NA,NA,6062,NA,NA,42.3,Q4,2018
Prudential Life,2440,2462,NA,NA,NA,3290,NA,NA,NA,1612,NA,NA,67.1,Q4,2018
Saham,26,4,NA,NA,NA,1,NA,NA,NA,29,NA,NA,3.3,Q4,2018
Sanlam Life,2315,3802,NA,NA,NA,4338,NA,9,48,1707,0.1,0.8,71.1,Q4,2018
Takaful Life,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,100,Q4,2018
The Kenyan Alliance,103,982,NA,NA,NA,989,NA,NA,NA,96,NA,NA,91.2,Q4,2018
The Monarch,49,38,NA,NA,NA,45,NA,NA,NA,42,NA,NA,51.7,Q4,2018
UAP Life,195,1613,NA,NA,NA,1564,NA,2,NA,224,0.1,NA,87.4,Q4,2018
Industry,34209,67653,NA,NA,210,70466,NA,50,168,31145,0.05,0.2,69.2,Q4,2018
APA Life,445,696,NA,NA,NA,692,NA,NA,31,418,NA,2.7,60.6,Q1,2019
ABSA Life,171,888,NA,NA,NA,858,NA,NA,1,200,NA,0.1,81,Q1,2019
Britam Life,2924,14021,NA,NA,NA,13568,NA,NA,90,3287,NA,0.5,80.1,Q1,2019
Capex Life,34,470,NA,NA,NA,491,NA,NA,NA,13,NA,NA,97.4,Q1,2019
CIC Life,1173,1852,NA,NA,334,1672,NA,9,NA,1344,0.3,NA,55.3,Q1,2019
Corporate,266,657,NA,NA,NA,624,NA,NA,NA,420,NA,NA,59.8,Q1,2019
First Assurance,68,53,NA,NA,NA,57,NA,NA,NA,64,NA,NA,47.1,Q1,2019
GA Life,1,399,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,100,Q1,2019
Geminia,540,48,NA,NA,NA,26,NA,NA,NA,562,NA,NA,4.4,Q1,2019
ICEA Life,618,14362,NA,NA,NA,14449,NA,NA,NA,574,NA,NA,96.2,Q1,2019
Jubilee,1922,8425,NA,NA,19,8325,NA,4,5,2017,0,0,80.4,Q1,2019
Kenindia,402,1609,NA,NA,1,1589,NA,NA,NA,422,NA,NA,79,Q1,2019
Kenya Orient,21,34,NA,NA,NA,29,NA,NA,NA,26,NA,NA,52.7,Q1,2019
Liberty Life,8048,2129,NA,NA,NA,2652,NA,16,NA,7509,0.2,NA,26.1,Q1,2019
Madison,1595,5489,NA,NA,NA,5557,NA,NA,1,1526,NA,0,78.4,Q1,2019
Metropolitan Cannon,753,571,NA,NA,NA,1119,NA,NA,NA,205,NA,NA,84.5,Q1,2019
Old Mutual,2393,1371,NA,NA,NA,2004,NA,NA,103,1657,NA,2.7,53.2,Q1,2019
Pioneer,6062,4920,NA,NA,NA,5955,NA,1,NA,5026,0,NA,54.2,Q1,2019
Prudential Life,1612,846,NA,NA,NA,1458,NA,NA,NA,989,NA,NA,59.6,Q1,2019
Saham,29,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,Q1,2019
Sanlam Life,1707,3396,NA,NA,NA,3503,NA,21,23,1336,0.4,0.5,71.7,Q1,2019
Takaful Life,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q1,2019
The Kenyan Alliance,97,1032,NA,NA,4,1044,NA,1,3,81,0.1,0.3,92.5,Q1,2019
The Monarch,42,72,NA,NA,NA,69,NA,NA,NA,45,NA,NA,60.5,Q1,2019
UAP Life,224,1965,NA,NA,NA,1961,NA,NA,NA,228,NA,NA,89.6,Q1,2019
Industry,31147,65309,NA,NA,358,68102,NA,52,257,27981,0.05,0.3,70.7,Q1,2019
APA Life,418,1081,NA,NA,NA,1041,NA,6,24,428,0.4,1.6,69.4,Q2,2019
ABSA Life,200,848,NA,NA,NA,868,NA,NA,NA,180,NA,NA,82.8,Q2,2019
Britam Life,3287,13641,NA,NA,NA,14015,NA,NA,NA,2913,NA,NA,82.8,Q2,2019
Capex Life,13,546,NA,NA,1,556,NA,NA,NA,3,NA,NA,99.5,Q2,2019
CIC Life,1344,1618,NA,NA,260,1359,NA,9,NA,1595,0.3,NA,45.9,Q2,2019
Corporate,420,447,NA,NA,NA,624,NA,NA,NA,366,NA,NA,63,Q2,2019
First Assurance,64,53,NA,NA,NA,34,NA,NA,NA,83,NA,NA,29.1,Q2,2019
GA Life,NA,2148,NA,NA,NA,2145,NA,NA,NA,3,NA,NA,99.9,Q2,2019
Geminia,562,22,NA,NA,NA,29,NA,NA,NA,555,NA,NA,5,Q2,2019
ICEA Life,574,14843,NA,NA,NA,14799,NA,NA,NA,618,NA,NA,96,Q2,2019
Jubilee,2017,10601,NA,NA,40,10463,NA,14,45,2096,0.1,0.4,82.9,Q2,2019
Kenindia,422,1878,NA,NA,NA,1922,NA,NA,NA,378,NA,NA,83.6,Q2,2019
Kenya Orient,26,26,NA,NA,NA,33,NA,NA,NA,19,NA,NA,63.5,Q2,2019
Liberty Life,7509,2436,NA,NA,NA,3002,NA,117,NA,6826,1.2,NA,30.2,Q2,2019
Madison,1526,5530,NA,NA,NA,5151,NA,NA,NA,1905,NA,NA,73,Q2,2019
Metropolitan Cannon,205,400,NA,NA,NA,431,NA,NA,NA,174,NA,NA,71.2,Q2,2019
Old Mutual,1657,1600,NA,NA,NA,1771,NA,NA,14,1472,NA,0.4,54.4,Q2,2019
Pioneer,5026,4421,NA,NA,NA,4683,NA,NA,NA,4764,NA,NA,49.6,Q2,2019
Prudential Life,989,954,NA,NA,NA,1009,NA,NA,NA,934,NA,NA,51.9,Q2,2019
Saham,29,2,NA,NA,NA,2,NA,NA,NA,29,NA,NA,6.5,Q2,2019
Sanlam Life,1336,3998,NA,NA,NA,3992,NA,21,37,1284,0.4,0.7,74.8,Q2,2019
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q2,2019
The Kenyan Alliance,81,1066,NA,NA,NA,1064,NA,NA,NA,83,NA,NA,92.8,Q2,2019
The Monarch,45,43,NA,NA,NA,44,NA,NA,NA,34,NA,NA,56.4,Q2,2019
UAP Life,228,1612,NA,NA,NA,1627,NA,NA,NA,213,NA,NA,88.4,Q2,2019
Industry,27978,69814,NA,NA,301,70664,NA,167,120,26958,0.17,0.1,72.2,Q2,2019
APA Life,428,1065,NA,NA,NA,1045,NA,6,27,415,0.4,1.8,70,Q3,2019
ABSA Life,263,909,NA,NA,NA,857,NA,NA,NA,315,NA,NA,73.1,Q3,2019
Britam Life,2913,16040,NA,NA,NA,14873,NA,5,41,4034,0,0.2,78.5,Q3,2019
Capex Life,3,601,NA,NA,NA,581,NA,NA,NA,31,NA,NA,94.9,Q3,2019
CIC Life,1595,1918,NA,NA,151,2047,NA,19,1,1446,0.5,0,58.3,Q3,2019
Corporate,366,636,NA,NA,NA,624,NA,NA,NA,634,NA,NA,49.6,Q3,2019
First Assurance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2019
GA Life,3,1396,NA,NA,NA,1396,NA,NA,NA,3,NA,NA,99.8,Q3,2019
Geminia,555,31,NA,NA,NA,21,NA,NA,NA,565,NA,NA,3.6,Q3,2019
ICEA Life,618,16523,NA,NA,NA,15802,NA,NA,NA,1339,NA,NA,92.2,Q3,2019
Jubilee,2096,9320,NA,NA,68,9549,NA,16,16,1835,0.1,0.1,83.6,Q3,2019
Kenindia,378,1587,NA,NA,NA,1536,NA,NA,6,423,NA,0.3,78.2,Q3,2019
Kenya Orient,19,29,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,100,Q3,2019
Liberty Life,6826,2620,NA,NA,NA,5852,NA,21,NA,3573,0.2,NA,62,Q3,2019
Madison,1905,5829,NA,NA,NA,5648,NA,NA,NA,2106,NA,NA,72.8,Q3,2019
Metropolitan Cannon,174,1404,NA,NA,NA,836,NA,NA,NA,742,NA,NA,53,Q3,2019
Old Mutual,1472,1618,NA,NA,NA,1650,NA,1,26,1413,0,0.8,53.4,Q3,2019
Pioneer,4764,5975,NA,NA,NA,5481,NA,NA,NA,5258,NA,NA,51,Q3,2019
Prudential Life,934,988,NA,NA,NA,975,NA,NA,NA,947,NA,NA,50.7,Q3,2019
Saham,29,137,NA,NA,NA,134,NA,NA,NA,32,NA,NA,80.7,Q3,2019
Sanlam Life,1284,3839,NA,NA,NA,3591,NA,27,NA,1505,0.5,NA,70.1,Q3,2019
Takaful Life,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q3,2019
The Kenyan Alliance,83,892,NA,NA,NA,891,NA,2,1,81,0.2,0.1,91.4,Q3,2019
The Monarch,34,87,NA,NA,NA,82,NA,NA,NA,33,NA,NA,71.3,Q3,2019
UAP Life,213,2050,NA,NA,NA,1963,NA,NA,NA,300,NA,NA,86.7,Q3,2019
Industry,26958,75494,NA,NA,219,75482,NA,97,118,27033,0.09,0.1,73.5,Q3,2019
APA Life,415,962,NA,NA,NA,988,NA,NA,16,373,NA,1.2,71.8,Q4,2019
ABSA Life,315,909,NA,NA,NA,834,NA,NA,NA,390,NA,NA,68.1,Q4,2019
Britam Life,4034,15815,NA,NA,NA,16132,NA,NA,NA,3717,NA,NA,81.3,Q4,2019
Capex Life,31,575,NA,NA,NA,530,NA,NA,NA,76,NA,NA,87.5,Q4,2019
CIC Life,1446,2173,NA,NA,223,1831,NA,15,2,1771,0.4,0.1,50.6,Q4,2019
Corporate,634,664,NA,NA,NA,624,NA,NA,NA,375,NA,NA,62.5,Q4,2019
First Assurance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4,2019
GA Life,3,583,NA,NA,NA,585,NA,NA,NA,1,NA,NA,99.8,Q4,2019
Geminia,565,417,NA,NA,NA,174,NA,NA,NA,808,NA,NA,17.7,Q4,2019
ICEA Life,1339,14436,NA,NA,NA,14062,NA,NA,NA,1713,NA,NA,89.1,Q4,2019
Jubilee,1835,10361,NA,NA,51,10189,NA,NA,13,1994,NA,0.1,83.5,Q4,2019
Kenindia,423,1976,NA,NA,NA,1968,NA,NA,25,406,NA,1,82,Q4,2019
Kenya Orient,NA,24,NA,NA,NA,13,NA,1,NA,10,4.2,NA,54.2,Q4,2019
Liberty Life,3573,2542,NA,NA,NA,4339,NA,15,NA,1761,0.2,NA,71,Q4,2019
Madison,2106,6245,NA,NA,NA,6248,NA,NA,NA,2103,NA,NA,74.8,Q4,2019
Metropolitan Cannon,742,387,NA,NA,NA,442,NA,NA,NA,687,NA,NA,39.1,Q4,2019
Old Mutual,1413,1856,NA,NA,NA,1928,NA,NA,8,1333,NA,0.2,59,Q4,2019
Pioneer,5258,4851,NA,NA,NA,5040,NA,NA,NA,5069,NA,NA,49.9,Q4,2019
Prudential Life,947,993,NA,NA,NA,1167,NA,NA,NA,773,NA,NA,60.2,Q4,2019
Saham,32,139,NA,NA,NA,144,NA,NA,NA,27,NA,NA,84.2,Q4,2019
Sanlam Life,1505,3890,NA,NA,NA,3744,NA,130,165,1356,2.4,3.1,69.4,Q4,2019
Takaful Life,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q4,2019
The Kenyan Alliance,81,1088,NA,NA,6,1095,NA,1,1,72,0.1,0.1,93.7,Q4,2019
The Monarch,33,84,NA,NA,NA,93,NA,NA,NA,24,NA,NA,79.5,Q4,2019
UAP Life,300,1706,NA,NA,NA,1772,NA,NA,NA,234,NA,NA,88.3,Q4,2019
Industry,27033,72676,NA,NA,280,73942,NA,162,230,25076,0.16,0.2,74.4,Q4,2019
ABSA Life,390,951,NA,NA,NA,880,NA,NA,NA,461,NA,NA,65.6,Q1,2020
APA Life,373,984,NA,NA,NA,878,NA,6,26,447,0.4,1.9,64.7,Q1,2020
Britam Life,3717,19981,NA,NA,NA,19915,NA,1040,NA,2743,4.4,NA,84,Q1,2020
Capex Life,76,617,NA,NA,NA,690,NA,NA,NA,3,NA,NA,99.6,Q1,2020
CIC Life,1771,1988,NA,NA,NA,2000,NA,18,NA,1741,0.5,NA,53.2,Q1,2020
Corporate,375,640,NA,NA,NA,624,NA,NA,NA,487,NA,NA,56.2,Q1,2020
GA Life,1,454,NA,NA,NA,454,NA,NA,NA,1,NA,NA,99.8,Q1,2020
Geminia,808,42,NA,NA,NA,401,NA,NA,NA,449,NA,NA,47.2,Q1,2020
ICEA Life,1713,14189,NA,NA,NA,13927,NA,1,NA,1974,0,NA,87.6,Q1,2020
Jubilee,1994,7838,NA,NA,25,7663,NA,NA,5,2164,NA,0.1,77.9,Q1,2020
Kenindia,406,1669,NA,NA,NA,1691,NA,NA,17,367,NA,0.8,81.5,Q1,2020
Kenya Orient,10,32,NA,NA,NA,32,NA,1,3,6,2.4,7.1,76.2,Q1,2020
KUSCCO Mutual,101,709,NA,NA,NA,557,NA,NA,NA,253,NA,NA,68.8,Q1,2020
Liberty Life,1761,1218,NA,NA,NA,1372,NA,8,NA,1599,0.3,NA,46.1,Q1,2020
Madison,2103,6399,NA,NA,NA,6469,NA,NA,NA,2033,NA,NA,76.1,Q1,2020
Metropolitan Cannon,687,432,NA,NA,NA,174,NA,NA,NA,945,NA,NA,15.5,Q1,2020
Old Mutual,1333,1714,NA,NA,NA,1345,NA,NA,19,1683,NA,0.6,44.1,Q1,2020
Pioneer,5069,5737,NA,NA,NA,4289,NA,NA,NA,6517,NA,NA,39.7,Q1,2020
Prudential Life,773,639,NA,NA,NA,781,NA,NA,NA,631,NA,NA,55.3,Q1,2020
Saham,27,113,NA,NA,NA,113,NA,NA,NA,26,NA,NA,81.3,Q1,2020
Sanlam Life,1356,3693,NA,NA,NA,3335,NA,27,11,1676,0.5,0.2,66.1,Q1,2020
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q1,2020
The Kenyan Alliance,72,1135,NA,NA,1,1129,NA,1,NA,77,0.1,NA,93.5,Q1,2020
The Monarch,24,82,NA,NA,NA,64,NA,NA,NA,42,NA,NA,60.4,Q1,2020
UAP Life,234,1632,NA,NA,NA,1563,NA,NA,NA,303,NA,NA,83.8,Q1,2020
Industry,24784,71937,NA,NA,26,69466,NA,1102,81,26170,1.14,0.1,71.7,Q1,2020
ABSA Life,461,791,NA,NA,2,832,NA,NA,1,419,NA,0.1,66.5,Q2,2020
APA Life,447,484,NA,NA,NA,397,NA,10,21,503,1.1,2.3,42.6,Q2,2020
Britam Life,2743,19257,NA,NA,NA,19134,NA,NA,NA,2866,NA,NA,87,Q2,2020
Capex Life,3,702,NA,NA,NA,690,NA,NA,NA,15,NA,NA,97.9,Q2,2020
CIC Life,1741,1553,NA,NA,-103,1406,NA,5,NA,1883,0.2,NA,42.7,Q2,2020
Corporate,487,639,NA,NA,NA,624,NA,NA,NA,799,NA,NA,43.9,Q2,2020
GA Life,1,2446,NA,NA,NA,2443,NA,NA,NA,4,NA,NA,99.8,Q2,2020
Geminia,449,34,NA,NA,NA,75,NA,NA,NA,408,NA,NA,15.5,Q2,2020
ICEA Life,1974,14106,NA,NA,NA,13691,NA,NA,NA,2389,NA,NA,85.1,Q2,2020
Jubilee,2164,9173,NA,NA,7,9097,NA,6,2,2232,0.1,0,80.2,Q2,2020
Kenindia,367,1702,NA,NA,1,1712,NA,NA,NA,357,NA,NA,82.7,Q2,2020
Kenya Orient,6,41,NA,NA,NA,23,NA,1,2,21,2.1,4.3,48.9,Q2,2020
KUSCCO Mutual,253,762,NA,NA,NA,515,NA,NA,NA,500,NA,NA,50.7,Q2,2020
Liberty Life,1599,2032,NA,NA,NA,2158,NA,16,NA,1457,0.4,NA,59.4,Q2,2020
Madison,2033,7237,NA,NA,NA,6736,NA,93,NA,2441,1,NA,72.7,Q2,2020
Metropolitan Cannon,945,149,NA,NA,NA,130,NA,NA,NA,964,NA,NA,11.9,Q2,2020
Old Mutual,1683,1804,NA,NA,NA,1763,NA,NA,25,1699,NA,0.7,50.6,Q2,2020
Pioneer,6517,4640,NA,NA,NA,3304,NA,NA,NA,7853,NA,NA,29.6,Q2,2020
Prudential Life,631,872,NA,NA,NA,834,NA,NA,NA,669,NA,NA,55.5,Q2,2020
Saham,26,116,NA,NA,NA,117,NA,NA,NA,25,NA,NA,82.4,Q2,2020
Sanlam Life,1676,3661,NA,NA,NA,3474,NA,17,41,1805,0.3,0.8,65.1,Q2,2020
Takaful Life,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q2,2020
The Kenyan Alliance,77,1063,NA,NA,NA,1052,NA,NA,NA,88,NA,NA,92.3,Q2,2020
The Monarch,42,81,NA,NA,NA,86,NA,NA,NA,37,NA,NA,69.9,Q2,2020
UAP Life,303,1915,NA,NA,NA,1963,NA,NA,29,226,NA,1.3,88.5,Q2,2020
Industry,26631,75260,NA,NA,-93,72256,NA,148,121,29663,0.14,0.1,70.7,Q2,2020
ABSA Life,419,NA,1185,2,NA,1178,NA,NA,NA,426,NA,NA,73.4,Q3,2020
APA Life,503,NA,407,NA,NA,369,NA,17,21,503,1.9,2.3,40.5,Q3,2020
Britam Life,2866,NA,22188,NA,NA,21997,NA,19,NA,3038,0.1,NA,87.8,Q3,2020
Capex Life,15,NA,702,1,NA,712,NA,NA,NA,9,NA,NA,98.8,Q3,2020
CIC Life,1883,NA,2273,342,NA,1949,NA,2,NA,2205,0,NA,46.9,Q3,2020
Corporate,799,NA,387,NA,NA,624,NA,NA,NA,775,NA,NA,44.6,Q3,2020
GA Life,4,NA,1928,NA,NA,1932,NA,NA,NA,NA,NA,NA,100,Q3,2020
Geminia,408,NA,71,NA,NA,78,NA,NA,NA,401,NA,NA,16.3,Q3,2020
ICEA Life,2389,NA,14279,NA,NA,14307,NA,1,NA,2360,0,NA,85.8,Q3,2020
Jubilee,2232,NA,11000,14,NA,10948,NA,2,3,2279,0,0,82.7,Q3,2020
Kenindia,357,NA,1485,1,NA,1420,NA,NA,NA,422,NA,NA,77.1,Q3,2020
Kenya Orient,21,NA,42,NA,NA,32,NA,NA,6,25,NA,9.5,50.8,Q3,2020
KUSCCO Mutual,500,NA,511,NA,NA,591,NA,NA,NA,420,NA,NA,58.5,Q3,2020
Liberty Life,1457,NA,1563,NA,NA,2134,NA,19,21,846,0.6,0.7,70.7,Q3,2020
Madison,2441,NA,7578,NA,NA,7536,NA,NA,NA,2483,NA,NA,75.2,Q3,2020
Metropolitan Cannon,964,NA,289,NA,NA,393,NA,NA,NA,860,NA,NA,31.4,Q3,2020
Old Mutual,1699,NA,2062,1,NA,1827,NA,1,32,1901,0,0.9,48.6,Q3,2020
Pioneer,7853,NA,5856,NA,NA,4709,NA,NA,NA,9000,NA,NA,34.3,Q3,2020
Prudential Life,669,NA,831,NA,NA,820,NA,NA,NA,680,NA,NA,54.7,Q3,2020
Saham,25,NA,115,NA,NA,113,NA,NA,NA,27,NA,NA,80.7,Q3,2020
Sanlam Life,1805,NA,3894,NA,NA,4029,NA,59,1,1610,1,0,70.7,Q3,2020
Takaful Life,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q3,2020
The Kenyan Alliance,88,NA,1160,3,NA,1170,NA,NA,NA,78,NA,NA,93.8,Q3,2020
The Monarch,37,NA,142,NA,NA,110,NA,NA,NA,69,NA,NA,61.5,Q3,2020
UAP Life,226,NA,1876,NA,NA,1747,NA,NA,NA,355,NA,NA,83.1,Q3,2020
Industry,29663,NA,81824,364,NA,80725,NA,120,84,30775,0.11,0.1,72.3,Q3,2020
ABSA Life,426,NA,1558,2,NA,1645,NA,NA,NA,339,NA,NA,82.9,Q4,2020
APA Life,503,NA,404,NA,NA,327,NA,13,222,345,1.4,24.5,36.1,Q4,2020
Britam Life,3038,NA,21531,NA,NA,21537,NA,NA,25,3007,NA,0.1,87.7,Q4,2020
Capex Life,9,NA,506,NA,NA,498,NA,NA,NA,17,NA,NA,96.7,Q4,2020
CIC Life,2205,NA,2353,512,NA,2173,NA,7,NA,2378,0.2,NA,47.7,Q4,2020
Corporate,775,NA,236,NA,NA,624,NA,NA,NA,443,NA,NA,58.5,Q4,2020
GA Life,NA,NA,927,NA,NA,924,NA,1,NA,2,0.1,NA,99.7,Q4,2020
Geminia,401,NA,81,NA,NA,98,NA,NA,NA,384,NA,NA,20.3,Q4,2020
ICEA Life,2360,NA,15931,NA,NA,15725,NA,NA,NA,2566,NA,NA,86,Q4,2020
Jubilee,2279,NA,11993,21,NA,11900,NA,2,25,2345,0,0.2,83.4,Q4,2020
Kenindia,422,NA,1286,NA,NA,1424,NA,NA,1,283,NA,0.1,83.4,Q4,2020
Kenya Orient,25,NA,32,NA,NA,33,NA,5,NA,20,8.6,NA,56.9,Q4,2020
KUSCCO Mutual,420,NA,404,NA,NA,473,NA,NA,NA,351,NA,NA,57.4,Q4,2020
Liberty Life,846,NA,1749,NA,NA,1740,NA,31,NA,824,1.2,NA,67.1,Q4,2020
Madison,2483,NA,7698,NA,NA,7467,NA,NA,NA,2714,NA,NA,73.3,Q4,2020
Metropolitan Cannon,860,NA,390,NA,NA,538,NA,NA,NA,712,NA,NA,43,Q4,2020
Old Mutual,1901,NA,2122,NA,NA,1909,NA,NA,1,2113,NA,0,47.5,Q4,2020
Pioneer,9000,NA,4644,NA,NA,5142,NA,NA,NA,8502,NA,NA,37.7,Q4,2020
Prudential Life,680,NA,905,NA,NA,985,NA,NA,NA,600,NA,NA,62.1,Q4,2020
Saham,27,NA,102,NA,NA,102,NA,NA,NA,27,NA,NA,79.1,Q4,2020
Sanlam Life,1610,NA,4286,NA,NA,4214,NA,175,2,1505,3,0,71.5,Q4,2020
Takaful Life,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Q4,2020
The Kenyan Alliance,85,NA,1256,4,NA,1246,NA,NA,NA,95,NA,NA,92.9,Q4,2020
The Monarch,69,NA,95,NA,NA,92,NA,NA,NA,72,NA,NA,56.1,Q4,2020
UAP Life,355,NA,1994,NA,NA,2030,NA,NA,1,318,NA,0,86.4,Q4,2020
Industry,30782,NA,82483,539,NA,82846,NA,234,277,29965,0.21,0.2,73.1,Q4,2020
ABSA Life,339,NA,1801,1,NA,1741,NA,NA,NA,399,NA,NA,81.4,Q1,2021
APA Life,345,NA,1449,NA,NA,1363,NA,32,7,392,1.8,0.4,76,Q1,2021
Britam Life,3007,NA,22468,NA,NA,22773,NA,NA,NA,2702,NA,NA,89.4,Q1,2021
Capex Life,17,NA,781,NA,NA,793,NA,NA,NA,5,NA,NA,99.4,Q1,2021
CIC Life,2378,NA,2709,648,NA,2772,NA,5,NA,2310,0.1,NA,54.5,Q1,2021
Corporate,443,NA,253,NA,NA,513,NA,NA,NA,422,NA,NA,54.9,Q1,2021
GA Life,2,NA,526,NA,NA,528,NA,NA,NA,NA,NA,NA,100,Q1,2021
Geminia,384,NA,-189,479,NA,34,NA,NA,NA,161,NA,NA,17.4,Q1,2021
ICEA Life,2566,NA,16430,NA,NA,16317,NA,2,NA,2677,0,NA,85.9,Q1,2021
Jubilee,2345,NA,10625,15,NA,10504,NA,11,2,2453,0.1,0,81,Q1,2021
Kenindia,283,NA,1488,5,NA,1444,NA,NA,NA,327,NA,NA,81.5,Q1,2021
Kenya Orient,21,NA,52,NA,NA,25,NA,25,NA,32,30.5,NA,30.5,Q1,2021
KUSCCO Mutual,351,NA,684,NA,NA,828,NA,NA,NA,207,NA,NA,80,Q1,2021
Liberty Life,824,NA,1687,NA,NA,1169,NA,70,NA,1272,2.8,NA,46.6,Q1,2021
Madison,2714,NA,8366,NA,NA,9008,NA,NA,NA,2072,NA,NA,81.3,Q1,2021
Metropolitan Cannon,712,NA,207,NA,NA,316,NA,NA,NA,603,NA,NA,34.4,Q1,2021
Old Mutual,2113,NA,1722,NA,NA,2077,NA,NA,48,1710,NA,1.3,54.2,Q1,2021
Pioneer,8502,NA,5853,NA,NA,4771,NA,NA,NA,9584,NA,NA,33.2,Q1,2021
Prudential Life,600,NA,854,NA,NA,774,NA,NA,NA,680,NA,NA,53.2,Q1,2021
Saham,27,NA,113,NA,NA,115,NA,1,NA,24,0.7,NA,82.1,Q1,2021
Sanlam Life,1505,NA,3878,NA,NA,3753,NA,24,34,1572,0.4,0.6,69.7,Q1,2021
Takaful Life,3,NA,NA,NA,NA,NA,NA,3,NA,NA,100,NA,NA,Q1,2021
The Kenyan Alliance,95,NA,1202,2,NA,1183,NA,NA,NA,114,NA,NA,91.2,Q1,2021
The Monarch,72,NA,84,NA,NA,85,NA,NA,NA,71,NA,NA,54.5,Q1,2021
UAP Life,318,NA,1758,NA,NA,1825,NA,NA,1,250,NA,0,87.9,Q1,2021
Industry,29966,NA,84801,1150,NA,84711,NA,173,92,30039,0.15,0.1,73.7,Q1,2021
ABSA Life,399,NA,1778,NA,NA,1798,NA,NA,NA,379,NA,NA,82.6,Q2,2021
APA Life,392,NA,2803,NA,NA,2563,NA,1,87,544,0,2.7,80.2,Q2,2021
Britam Life,2702,NA,23608,NA,NA,22657,NA,NA,NA,3653,NA,NA,86.1,Q2,2021
Capex Life,5,NA,745,NA,NA,741,NA,NA,NA,12,NA,NA,98.4,Q2,2021
CIC Life,2310,NA,2765,1031,NA,2609,NA,4,NA,2462,0.1,NA,51.4,Q2,2021
Corporate,422,NA,536,NA,NA,571,NA,NA,NA,623,NA,NA,47.8,Q2,2021
GA Life,NA,NA,3376,NA,NA,3373,NA,NA,NA,3,NA,NA,99.9,Q2,2021
Geminia,161,NA,56,NA,NA,74,NA,NA,NA,143,NA,NA,34.1,Q2,2021
ICEA Life,2677,NA,17392,NA,NA,17338,NA,43,NA,2688,0.2,NA,86.4,Q2,2021
Jubilee,2453,NA,10413,57,NA,10376,NA,2,4,2484,0,0,80.6,Q2,2021
Kenindia,327,NA,1427,3,NA,1402,NA,NA,NA,352,NA,NA,79.9,Q2,2021
Kenya Orient,32,NA,35,NA,NA,39,NA,3,1,24,4.5,1.5,58.2,Q2,2021
KUSCCO Mutual,207,NA,689,NA,NA,485,NA,NA,NA,411,NA,NA,54.1,Q2,2021
Liberty Life,1272,NA,2085,NA,NA,2191,NA,7,NA,1159,0.2,NA,65.3,Q2,2021
Madison,2072,NA,8163,NA,NA,8527,NA,NA,NA,1708,NA,NA,83.3,Q2,2021
Metropolitan Cannon,603,NA,270,NA,NA,225,NA,NA,NA,648,NA,NA,25.8,Q2,2021
Old Mutual,1710,NA,2094,NA,NA,2116,NA,NA,27,1661,NA,0.7,55.6,Q2,2021
Pioneer,9584,NA,4597,NA,NA,4487,NA,NA,NA,9694,NA,NA,31.6,Q2,2021
Prudential Life,680,NA,1172,NA,NA,1136,NA,NA,NA,716,NA,NA,61.3,Q2,2021
Saham,24,NA,88,NA,NA,86,NA,NA,NA,26,NA,NA,76.8,Q2,2021
Sanlam Life,1572,NA,4825,NA,NA,4498,NA,26,44,1829,0.4,0.7,70.3,Q2,2021
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2021
The Kenyan Alliance,114,NA,1152,NA,NA,1121,NA,NA,NA,135,NA,NA,89.3,Q2,2021
